kind	edgeRole	rootContext	expressionOwnerKind	pyTypeLinkHash	expressionOwnerHash	parentExpressionHash	position	depth	literalType	literalValue	comprehensionKind	unaryFixity	operatorString	referencedEntityKind	referencedEntityHash	lambdaScopeHash	potentialQualifiedName	isAmbiguous	returnStatementIndex	startLine	startColumn	endLine	endColumn	pyScopeLinkHash	pyModuleLinkHash	bindingLinkHash	nameContext	isWrite	argumentKeywordName	isAwaited	isStarred	dottedPath	inferredTypeName	inferredTypeKind	inferenceEvidence	inferenceConfidence	serviceVersionLinkHash	pyExpressionUniqueHash
LITERAL	ROOT	MODULE_LEVEL_STATEMENT	METHOD		PY_METHOD_1ec9dd6cff96c8d149e5e988044c5acd		0	0	STRING	Closed world: nothing imported from outside this package.	NONE	NONE		UNKNOWN				false		1	0	1	63	PY_SCOPE_295594e03a9a1a16619070d1ea44e657	PY_MODULE_933b805b0d496400952bb195a87ddcc4		LOAD	false		false	false		str	BUILTIN_SCALAR	LITERAL	CERTAIN	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_af0ce859970db14a5ab18c6ce4413bd1
LITERAL	ROOT	MODULE_LEVEL_STATEMENT	METHOD		PY_METHOD_22330a12005374ea1b1705c24d3d9eab		0	0	STRING	Declaration site. Everything else in the benchmark resolves back to here.	NONE	NONE		UNKNOWN				false		1	0	1	79	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		LOAD	false		false	false		str	BUILTIN_SCALAR	LITERAL	CERTAIN	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_618340797bb525f1b910a043ebea4114
NAME_REFERENCE	ASSIGNMENT_VALUE	ASSIGNMENT_VALUE	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95		0	0		name	NONE	NONE		UNKNOWN				false		6	20	6	24	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_BINDING_5c7315804b4d95439c3886a09e1265e7	LOAD	false		false	false			UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_ffedee2e86dfc416633d54e4e6262f9e
ATTRIBUTE_ACCESS	ASSIGNMENT_TARGET	ASSIGNMENT_TARGET	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95		0	0		name	NONE	NONE		FIELD	PY_FIELD_b0e5b34b1a094e7acf6906355e160de2			false		6	8	6	17	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		STORE	true		false	false	self.name		UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_09632e215305862f7a2314c2e89fcabc
SELF_REFERENCE	ATTRIBUTE_OBJECT	ASSIGNMENT_TARGET	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	PY_EXPRESSION_09632e215305862f7a2314c2e89fcabc	0	1		self	NONE	NONE		SELF				false		6	8	6	12	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_BINDING_5e9cff90916a8977a19300132d4f8832	LOAD	false		false	false			UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_a3a7e6ed06521bea474f219abd6574ed
LIST	ASSIGNMENT_VALUE	ASSIGNMENT_VALUE	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95		0	0			NONE	NONE		UNKNOWN				false		7	24	7	26	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		LOAD	false		false	false		list	BUILTIN_COLLECTION	COLLECTION_LITERAL	CERTAIN	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_d8affccbfa8c6fccc5e6862bfaa08abf
ATTRIBUTE_ACCESS	ASSIGNMENT_TARGET	ASSIGNMENT_TARGET	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95		0	0		children	NONE	NONE		FIELD	PY_FIELD_92a577eda9d4ad685256c9883bb33092			false		7	8	7	21	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		STORE	true		false	false	self.children		UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_4b28d1085f7922cffe942b21320a6041
SELF_REFERENCE	ATTRIBUTE_OBJECT	ASSIGNMENT_TARGET	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	PY_EXPRESSION_4b28d1085f7922cffe942b21320a6041	0	1		self	NONE	NONE		SELF				false		7	8	7	12	PY_SCOPE_a5563037b650c206f59fdac34d53e9a9	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_BINDING_5e9cff90916a8977a19300132d4f8832	LOAD	false		false	false			UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_bc508869016952cb902677c93371c23a
ATTRIBUTE_ACCESS	RETURN_VALUE	RETURN_VALUE	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_ce30c205d081a607b8a765e37d66ba71		0	0		name	NONE	NONE		FIELD	PY_FIELD_b0e5b34b1a094e7acf6906355e160de2			false	0	10	15	10	24	PY_SCOPE_be4552bc039e00d676c093564b9e05dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		LOAD	false		false	false	self.name		UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_b36d6226388404992e4e6d21976f9546
SELF_REFERENCE	ATTRIBUTE_OBJECT	RETURN_VALUE	METHOD	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	PY_EXPRESSION_b36d6226388404992e4e6d21976f9546	0	1		self	NONE	NONE		SELF				false	0	10	15	10	19	PY_SCOPE_be4552bc039e00d676c093564b9e05dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	PY_BINDING_6683939c008e7e9aa4a0b1ebeec4cc79	LOAD	false		false	false			UNKNOWN	NONE	NONE	SERVICE_VERSION_00000000000000000000000000000000	PY_EXPRESSION_56c236b40e305622205bd680d15894c1
